airport,Total Flights,Total Delays,Carrier,Weather,National Airspace System,Security,Late Arrival of the Same Aircraft at a Previous Airport,lat,lon
ABQ,321191,10.20768662,3.680633939,0.572568861,2.022584663,0.01668397,3.915215183,35.04166667,-106.6063889
ALB,111215,12.17971444,4.713465178,0.693581999,2.21110754,0.010661295,4.550898425,42.74583333,-73.80527778
ANC,182434,12.46503219,4.673253776,0.510299041,3.364497777,0.046734714,3.870246885,61.16916667,-149.9852778
ATL,3991964,13.0647401,3.930805243,0.715129705,4.200663801,0.016645575,4.201495771,33.64083333,-84.42722222
AUS,453619,10.91452269,4.22093553,0.523775069,2.327963226,0.017089014,3.824759852,30.19444444,-97.67
BDL,246142,11.74415141,4.45472609,0.653917174,2.259220358,0.01410625,4.362181537,41.93861111,-72.68333333
BHM,186747,11.60787738,4.529499683,0.90573118,1.981159404,0.024698394,4.166788723,33.56305556,-86.75555556
BNA,559725,11.25933494,4.129034401,0.658423478,2.257666095,0.015053671,4.1991573,36.12666667,-86.68194444
BOI,138901,9.376754044,3.650234198,0.282675983,1.351451461,0.023271304,4.069121098,43.56527778,-116.225
BOS,1149705,12.75229466,3.579560388,0.663614111,4.596424645,0.016856427,3.895839093,42.36361111,-71.00611111
BUF,232612,12.56322384,4.524822522,0.924329733,2.245983307,0.014250383,4.853837892,42.94111111,-78.73638889
BUR,266524,8.755201107,3.358548226,0.332345444,1.613557441,0.015659626,3.435090371,34.2,-118.3577778
BWI,1016269,10.84588188,3.584602978,0.706552281,2.693586042,0.015184678,3.845955897,39.175,-76.67
CHS,138618,11.55254927,4.478037596,0.702086923,2.258834126,0.036887607,4.076703015,32.89916667,-80.03888889
CLE,542801,12.071305,4.243012504,0.754309683,2.328504725,0.013985641,4.731492442,41.41083333,-81.84944444
CLT,1246921,12.38474217,4.138199172,0.701846158,3.433448628,0.023046738,4.088201475,35.21916667,-80.93583333
CMH,303884,11.39048481,4.131261631,0.746473969,2.109376009,0.022688454,4.38068475,39.99111111,-82.87833333
COS,122930,12.21181846,5.086083,0.783749232,2.224723472,0.013922666,4.103340094,38.80888889,-104.7091667
CVG,533972,11.22768529,3.910149504,0.788693232,2.198364735,0.011832077,4.318645746,39.04777778,-84.66861111
DAL,510506,9.673252424,2.901571266,0.599103889,1.849618318,0.015172188,4.307786764,32.84694444,-96.85333333
DAY,127860,11.84597276,4.198950134,0.748977141,2.144633587,0.006902639,4.746509259,39.90111111,-84.22
DCA,794251,10.5667823,3.140870739,0.597650021,3.152069967,0.013097987,3.663093583,38.85166667,-77.03694444
DEN,2330058,10.94955029,3.550684584,0.574119878,3.094880408,0.023375554,3.706489867,39.77444444,-104.8797222
DFW,2738486,11.31611867,3.814971295,0.632196572,3.114914033,0.018707631,3.735329144,32.89722222,-97.03777778
DSM,132059,12.28889197,4.463615222,0.89120763,2.296233751,0.01256617,4.625269199,41.53416667,-93.6575
DTW,1350075,11.7930577,3.996364392,0.644363827,2.663528697,0.018614028,4.47018675,42.21666667,-83.34444444
ELP,196416,10.27363389,3.872120765,0.632932762,1.735598529,0.022758448,4.010223387,31.80666667,-106.3772222
EWR,1243856,20.77148793,3.513260013,1.046523535,12.15376854,0.0127876,4.045148244,40.6925,-74.16861111
FAT,119308,9.289523922,3.679785414,0.516066604,1.320921666,0.014679378,3.75807086,36.77666667,-119.7172222
FLL,676872,11.20900721,3.544949806,0.536378879,2.951539587,0.025904447,4.150234493,26.07416667,-80.15166667
GEG,121236,8.950670684,3.406005624,0.303552622,1.697750384,0.023278347,3.520083707,47.62,-117.5327778
GRR,130124,12.00295917,4.581788573,0.767884342,2.15925041,0.012134904,4.48190094,42.88111111,-85.52416667
GSO,103363,12.87106562,4.856240279,1.119364086,2.239861957,0.011277859,4.644321438,36.09194444,-79.94277778
GSP,98964,12.67528009,5.030945844,1.085613281,2.220221293,0.011050531,4.327449141,34.89555556,-82.21888889
HNL,548624,11.19744465,5.526907045,0.257655247,2.388559122,0.020539078,3.003784154,21.31861111,-157.9225
HOU,554783,11.77717619,4.092952381,0.702275909,2.674201827,0.009629116,4.298116956,29.645,-95.27861111
HPN,94051,13.14876171,4.790466927,0.682483632,3.169444314,0.010868093,4.495498742,41.06888889,-73.70777778
IAD,709156,11.21510783,3.667195472,0.586968786,2.69215353,0.025671032,4.243119013,38.94166667,-77.4575
IAH,1817782,11.50112299,3.899582953,0.68639276,3.488901569,0.012342686,3.413903017,29.98333333,-95.34
ICT,116208,11.7981735,4.145086567,0.744193984,2.081270125,0.00943837,4.818184451,37.65,-97.43277778
IND,342277,11.13079907,4.011704748,0.594663043,2.272694746,0.014518922,4.237217609,39.72888889,-86.28166667
JAN,105003,11.38360336,4.378272244,1.083019161,2.122287767,0.014344194,3.78567999,32.30972222,-90.07583333
JAX,273165,11.51849092,4.337408287,0.783643058,2.248658584,0.016753717,4.132027276,30.48472222,-81.68777778
JFK,1092396,15.68937032,4.028904053,0.791029024,7.011806914,0.027257729,3.830372602,40.63861111,-73.77694444
